"Benchmark","L2 Stride Prefetcher","L2 Tagged Prefetcher","L2 Prefetchers","L2 Prefetches","L2 Miss Rate","# Cycles","Simulation Time"
"403.gcc","False","False","None","0","0.100215","49286447","253.56"
"403.gcc","False","True","Tagged","70790","0.043139","46314183","254.92"
"403.gcc","True","False","Stride","7422","0.090453","48820423","254.59"
"403.gcc","True","True","Stride+Tagged","70790","0.043139","46314183","251.94"
"410.bwaves","False","False","None","0","0.147859","275382000","554.65"
"410.bwaves","False","True","Tagged","1323985","0.002312","158756990","566.95"
"410.bwaves","True","False","Stride","2580062","0.003705","160282630","575.70"
"410.bwaves","True","True","Stride+Tagged","1323985","0.002312","158756990","565.41"
"416.gamess","False","False","None","0","0.491910","39736463","210.76"
"416.gamess","False","True","Tagged","46570","0.058937","36609925","204.37"
"416.gamess","True","False","Stride","73388","0.091145","37000405","204.73"
"416.gamess","True","True","Stride+Tagged","46570","0.058937","36609925","199.25"
"429.mcf","False","False","None","0","0.507183","42450181","170.29"
"429.mcf","False","True","Tagged","75989","0.023631","36615030","163.81"
"429.mcf","True","False","Stride","67872","0.260487","39400491","164.57"
"429.mcf","True","True","Stride+Tagged","75989","0.023631","36615030","103.30"
